"Sr. No.","Domain Name","URL Length","Is IP as Host name","Is .exe present","Is www present","FTP used",".js used","Files in URL","css used","Digit to alphabet ratio","Special Char to Alphabet Ratio","Uppercase to LowercaseRatio","Domain to URL Ratio","Numeric Character","English Letters","Special Characters","Dots","Semicolon","Underscore","Question Mark","Hash Character","Equals","Percentage Character","Ampersand","Dash","Delimiters","At Character","Tilde","Double Slash","Is Hashed","TLD","Digit to alphabet distance","Https in URL","File Extention","TLD in Subdomain","TLD in path","https in host name","Host name length","Path length","Query length","Word based distribution","Is English word","Is Meaningful","Is Pronounceable","Is random","Unigram","Bigram","Trigram","Sensitive Words","Is domain suspicious","Levenshtein Distance","Entropy","Hyphenstring","Homoglyph","Vowel string","Bitsquatting","Insertion string","Omission","Repeatition","Replacement","Subdomain","Transposition","Addition string","Google Search Feature","IP Address","ASN Number","ASN Country Code","ASN CIDR","ASN Postal Code","ASN creation date","ASN updation date","Total images in webpage","Total links","Number of parameter","Number of fragments","Body tags in source","Meta tag in source","Div tag in source","Fake link in status bar","Right click disable","Popup window","mailto: present","Frame tag present","Is title tag empty","Eval() function","Escape() function","Exec() Function","Search() function","Is image only in webpage","Domain Age in Days","Label"
1,"donga.com",21,"False","False","False","False","False","False","False",0,0.3125,0,0.619,0,16,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"False","com",0,"True","False","False","False","False",13,0,0,"True","True","False","False","True",0,0,0,0,"False",9,3.7849,"['ga']","No_homo_str","['dunga', 'donge', 'danga', 'donga']","['fonga', 'tonga', 'dmnga', 'dgnga', 'dolga', 'dofga', 'donea', 'donoa', 'dongc', 'dongi']","['donbga', 'do9nga', 'donvga', 'dongta', 'dongfa', 'd0onga', 'donjga', 'dongha', 'donmga', 'do0nga', 'donfga', 'dobnga', 'dopnga', 'dongva', 'doknga', 'domnga']","['doga', 'dnga']","['donnga', 'doonga']","['dongs', 'dojga', 'dong1', 'dongq', 'dpnga', 'dong2', 'songa', 'dongy', 'dongw', 'd9nga', 'donva', 'donfa', 'dohga', 'dongz', 'dinga']","['do.nga']","['dnoga', 'donag']","['dongab', 'dongad', 'dongaf', 'dongah', 'dongaj', 'dongal', 'dongan', 'dongap', 'dongar', 'dongat', 'dongav', 'dongax', 'dongaz']",1,"210.115.155.1",4766,"KR","210.115.128.0/19",0,"0000-00-00T00:00:00","0000-00-00T00:00:00",124,529,0,0,1,6,276,"False","False","True","True","True","False",0,0,0,0,"False",0,0
2,"bookmyshow.com",26,"False","False","False","False","False","False","False",0,0.2381,0,0.6923,0,21,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"False","com",0,"True","False","False","False","False",18,0,0,"True","True","False","False","True",0,0,0,15,"False",11,3.6235,"['myshow']","No_homo_str","['biokmyshow', 'boikmyshow', 'bookmyshiw', 'buokmyshow', 'bookmyshew', 'beokmyshow']","['fookmyshow', 'rookmyshow', 'bmokmyshow', 'bgokmyshow', 'bomkmyshow', 'bogkmyshow', 'booimyshow', 'boocmyshow', 'bookoyshow', 'bookeyshow', 'bookmxshow', 'bookmishow', 'bookmyrhow', 'bookmywhow', 'bookmy3how', 'bookmysjow', 'bookmysxow', 'bookmyshmw', 'bookmyshgw', 'bookmyshou', 'bookmyshog']","['bookmysuhow', 'bookmsyshow', 'bookmyshoiw', 'bolokmyshow', 'b0ookmyshow', 'bookmyshjow', 'bookmyqshow', 'boiokmyshow', 'bookmyshiow', 'bookmyshyow', 'boo9kmyshow', 'booklmyshow', 'boopkmyshow', 'bookmhyshow', 'bookimyshow', 'bookmjyshow', 'bookmydshow', 'boolkmyshow', 'bookmysbhow', 'bookm6yshow', 'bookmysho0w', 'bookmtyshow', 'bookmysdhow', 'bookmxyshow', 'bookmysholw', 'bookmyshnow', 'bookmgyshow', 'bookmyshgow', 'boojkmyshow', 'bookm7yshow', 'bo9okmyshow', 'bookjmyshow', 'bookmyashow', 'bookmysh0ow', 'bookmysqhow', 'bookmyswhow', 'bookmysyhow', 'boo0kmyshow', 'bkookmyshow', 'bookomyshow', 'bookmyeshow', 'b9ookmyshow', 'bopokmyshow', 'bookmysxhow']","['bookmysow', 'bokmyshow', 'bookmyshw', 'ookmyshow']","['bookmmyshow', 'bbookmyshow', 'boookmyshow', 'bookmyyshow']","['bookmyahow', 'gookmyshow', 'bookmyshoa', 'bookmyxhow', 'blokmyshow', 'booimyshow', 'bookmysuow', 'bookmsshow', 'bookmyshkw', 'boikmyshow', 'bopkmyshow', 'bookmyehow', 'bookmyshox', 'bookmhshow', 'bookmysnow', 'bookmyszow', 'bookmyshlw', 'bookmysho2', 'bookmysgow', 'bo9kmyshow', 'bookmyyhow', 'bookm6show', 'bookmysh0w', 'booknyshow', 'bookpyshow', 'b9okmyshow', 'bookmyshpw', 'boolmyshow', 'booomyshow', 'bookmysjow', 'bookmushow']","['bo.okmyshow', 'book.myshow', 'bookmy.show', 'bookmysh.ow']","['bokomyshow', 'bookymshow', 'bookmyhsow', 'bookmyshwo']","['bookmyshowb', 'bookmyshowd', 'bookmyshowf', 'bookmyshowh', 'bookmyshowj', 'bookmyshowl', 'bookmyshown', 'bookmyshowp', 'bookmyshowr', 'bookmyshowt', 'bookmyshowv', 'bookmyshowx', 'bookmyshowz']",0,"104.16.123.37",13335,"US","104.16.0.0/12",94107,"2014-03-28T00:00:00","2021-05-26T00:00:00",17,268,0,0,1,11,556,"False","False","False","False","True","False",0,0,0,0,"False",2767,0
3,"turbobit.net",24,"False","False","False","False","False","False","False",0,0.2632,0,0.6667,0,19,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"False","net",0,"True","False","False","False","False",16,0,0,"True","True","False","False","True",0,0,0,7,"False",20,3.6531,"['bo']","No_homo_str","['turbabit', 'turbobat', 'turbibit', 'turbebit', 'turbobut', 'tirbobit']","['vurbobit', 'durbobit', 'ttrbobit', 'tqrbobit', 't5rbobit', 'tupbobit', 'tuzbobit', 'tu2bobit', 'turfobit', 'turrobit', 'turbmbit', 'turbgbit', 'turbofit', 'turborit', 'turbobkt', 'turbobat', 'turbobiu', 'turbobip', 'turbobi4']","['turbovbit', 'turbobikt', 'turbvobit', 'tufrbobit', 'turbobijt', 'turbgobit', 'turbokbit', 't7urbobit', 'turblobit', 'turbolbit', 'tiurbobit', 'turgbobit', 'turb9obit', 'turbobnit', 'tudrbobit', 'tutrbobit', 'turbiobit', 'tuzrbobit', 'turboboit', 'turbobuit', 't8urbobit', 'turbobhit', 'tyurbobit', 'tu7rbobit', 'turbobkit', 'turhbobit', 'tuerbobit', 'turboibit', 'turbogbit', 'tu5rbobit', 'turtbobit', 'tuyrbobit', 'tuhrbobit']","['tubobit', 'urbobit', 'turbbit', 'turbobt']","['tuurbobit', 'turrbobit', 'turbobiit', 'turboobit']","['turbogit', 'turbobir', 'turbobkt', 'tudbobit', 'turbob9t', 'turb9bit', 'tjrbobit', 'tutbobit', 'turhobit', 't8rbobit', 'turbobig', 'turbobif', '6urbobit', 'furbobit', '5urbobit', 'tu4bobit', 'tirbobit', 'turblbit', 'turbobut', 'turbonit', 'turb0bit', 'turnobit', 'turbobi5']","['tu.rbobit', 'turb.obit', 'turbob.it']","['trubobit', 'turobbit', 'turboibt']","['turbobitb', 'turbobitd', 'turbobitf', 'turbobith', 'turbobitj', 'turbobitl', 'turbobitn', 'turbobitp', 'turbobitr', 'turbobitt', 'turbobitv', 'turbobitx', 'turbobitz']",2,"5.45.76.184",58061,"NL","5.45.76.0/22",0,"0000-00-00T00:00:00","0000-00-00T00:00:00",3,31,0,0,1,6,111,"False","False","False","False","False","False",0,2,0,0,"False",0,0
4,"mercari.com",23,"False","False","False","False","False","False","False",0,0.2778,0,0.6522,0,18,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"False","com",0,"True","False","False","False","False",15,0,0,"True","True","False","False","True",0,0,0,0,"False",9,3.7951,"['cari']","No_homo_str","['mercara', 'merceri', 'mircari', 'morcari', 'mercari', 'marcari']","['oercari', 'eercari', 'mdrcari', 'marcari', 'murcari', 'mepcari', 'mezcari', 'me2cari', 'meraari', 'merkari', 'merccri', 'merciri', 'mercasi', 'mercavi', 'mercabi', 'mercarh', 'mercarm', 'mercary']","['mercqari', 'mercatri', 'mercayri', 'mercarei', 'm3ercari', 'me4rcari', 'merc2ari', 'mefrcari', 'medrcari', 'mrercari', 'mer5cari', 'mzercari', 'mdercari', 'merca1ri', 'mercarti', 'mezrcari', 'merca4ri', 'mercvari', 'mercdari', 'meercari', 'mercadri', 'mercaqri', 'merc1ari', 'mercazri', 'mercsari', 'm4ercari', 'mewrcari', 'mercfari']","['mecari', 'ercari', 'merari']","['mercarri', 'meercari', 'mercaari']","['mercaro', 'mdrcari', 'me5cari', 'merca5i', 'mercqri', 'msrcari', 'jercari', 'merxari', 'meecari', 'mercafi', 'mercadi', 'kercari', 'mercati', 'mercwri', 'mercarj', 'mercsri', 'percari', 'merczri', 'metcari', 'mercar9']","['me.rcari', 'merc.ari']","['mrecari', 'meracri', 'mercair']","['mercarib', 'mercarid', 'mercarif', 'mercarih', 'mercarij', 'mercaril', 'mercarin', 'mercarip', 'mercarir', 'mercarit', 'mercariv', 'mercarix', 'mercariz']",2,"199.232.214.128",54113,"US","199.232.0.0/16",94107,"2016-04-14T00:00:00","2016-04-14T00:00:00",0,0,0,0,1,34,199,"False","False","False","False","True","False",0,0,0,0,"False",2019,0
5,"impress.co.jp",25,"False","False","False","False","False","False","False",0,0.3158,0,0.68,0,19,6,3,0,0,0,0,0,0,0,0,0,0,0,1,"False","co.jp",0,"True","False","False","False","False",17,0,0,"True","True","True","True","False",0,0,0,0,"False",9,3.7231,"['press']","No_homo_str","['impriss', 'impress', 'empress', 'impross']","['kmpress', 'ampress', 'ilpress', 'iipress', 'i-press', 'imrress', 'imxress', 'impsess', 'impvess', 'impbess', 'imprdss', 'imprass', 'impruss', 'impreqs', 'imprecs', 'impresr', 'impresw', 'impres3']","['imp5ress', 'ijmpress', 'imprfess', 'impreses', 'imkpress', 'imprress', 'imprerss', 'imprewss', 'imptress', 'impresds', 'inmpress', 'imperess', 'imprezss', 'impmress', 'imprzess', 'imp0ress', 'impresas', 'imprtess', 'imnpress', 'impresqs', 'imprwess', 'impdress', 'impfress', 'impresws', 'ilmpress', 'imprexss']","['imprss', 'imress', 'mpress']","['immpress', 'imppress', 'impresss']","['impeess', 'imp5ess', 'imprexs', 'impresa', 'imprews', 'imprezs', 'imprrss', 'immress', 'impresz', '9mpress', 'impr4ss', 'kmpress', 'impresw', 'imlress', 'impfess', 'ijpress', 'impreys', 'inpress', 'impreqs', 'imp4ess', 'impreds', 'imprdss']","['im.press', 'impr.ess']","['ipmress', 'imperss']","['impressb', 'impressd', 'impressf', 'impressh', 'impressj', 'impressl', 'impressn', 'impressp', 'impressr', 'impresst', 'impressv', 'impressx', 'impressz']",5,"203.183.234.2",4694,"JP","203.178.0.0/15, 203.180.0.0/14",0,"0000-00-00T00:00:00","0000-00-00T00:00:00",21,51,0,0,1,11,43,"False","False","False","False","True","False",0,0,0,0,"False",0,0
6,"blockchain.info",27,"False","False","False","False","False","False","False",0,0.2273,0,0.7037,0,22,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"False","info",0,"True","False","False","False","False",19,0,0,"True","True","False","False","True",0,0,0,47,"False",9,3.9862,"No_hyphen","No_homo_str","['bleckchain', 'blockchoin', 'blockchaen', 'blockchaon', 'blackchain', 'blockchein']","['flockchain', 'rlockchain', 'bnockchain', 'bdockchain', 'blmckchain', 'blgckchain', 'bloakchain', 'blokkchain', 'blocjchain', 'blocochain', 'blockbhain', 'blockghain', 'blockshain', 'blockcjain', 'blockcxain', 'blockchein', 'blockchqin', 'blockchakn', 'blockchaan', 'blockchaio', 'blockchaij']","['blmockchain', 'bplockchain', 'blockchawin', 'blovckchain', 'blockchayin', 'blocdkchain', 'blockczhain', 'blockchajin', 'blockcdhain', 'blo9ckchain', 'blockchaqin', 'blockcha2in', 'bl0ockchain', 'blockchaikn', 'blockchgain', 'bloclkchain', 'blockchai9n', 'blockfchain', 'blockchaion', 'blpockchain', 'bklockchain', 'blocokchain', 'blockch1ain', 'blockchauin', 'blocklchain', 'blkockchain', 'bloockchain', 'blockchakin', 'blockcbhain', 'blockcnhain', 'blockchyain', 'blockchaijn', 'blodckchain', 'blockdchain', 'blofckchain', 'blockxchain', 'blockchai8n', 'blolckchain', 'blockchaiun', 'blockcha1in', 'blockchazin']","['blokchain', 'blockchin', 'blockhain', 'bockchain', 'blckchain']","['blockchaain', 'bloockchain', 'bblockchain', 'blockchhain', 'blocckchain']","['blockchzin', 'blockchaij', 'blocichain', 'glockchain', 'blockfhain', 'blkckchain', 'bloclchain', 'bloxkchain', 'bmockchain', 'blockcha8n', 'blocochain', 'blockdhain', 'blockcbain', 'blockchaun', 'bkockchain', 'blpckchain', 'bpockchain', 'blockchaib', 'bllckchain', 'blockch1in', 'blodkchain', 'boockchain', 'blocmchain', 'blockcnain', 'blockcha9n']","['bl.ockchain', 'bloc.kchain', 'blockc.hain', 'blockcha.in']","['bolckchain', 'blokcchain', 'blockhcain', 'blockchian']","['blockchainb', 'blockchaind', 'blockchainf', 'blockchainh', 'blockchainj', 'blockchainl', 'blockchainn', 'blockchainp', 'blockchainr', 'blockchaint', 'blockchainv', 'blockchainx', 'blockchainz']",0,"104.16.147.212",13335,"US","104.16.0.0/12",94107,"2014-03-28T00:00:00","2021-05-26T00:00:00",34,34,0,0,1,17,229,"False","False","False","False","True","False",0,0,0,0,"False",2767,0
7,"dianping.com",24,"False","False","False","False","False","False","False",0,0.2632,0,0.6667,0,19,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"False","com",0,"True","False","False","False","False",16,0,0,"True","True","False","False","True",0,0,0,0,"False",9,3.8868,"['an']","No_homo_str","['dianpung', 'daanping', 'dionping', 'dianpang', 'deanping', 'dianpong']","['fianping', 'tianping', 'dkanping', 'daanping', 'dicnping', 'diinping', 'diaoping', 'diajping', 'dianqing', 'dianting', 'dian0ing', 'dianpkng', 'dianpang', 'dianpiog', 'dianpijg', 'dianpinf', 'dianpinc', 'dianpinw']","['doianping', 'dizanping', 'diawnping', 'dijanping', 'dianpming', 'diqanping', 'dianmping', 'diaznping', 'djianping', 'di1anping', 'dianpimng', 'd9ianping', 'dian0ping', 'dianlping', 'diamnping', 'dianpiung', 'd8ianping', 'dia2nping', 'di8anping', 'duianping', 'dianpuing', 'dianp0ing', 'dianpi8ng', 'dianpinhg', 'dianpling', 'dianpijng', 'dianpking', 'diyanping', 'dianoping']","['diaping', 'dinping', 'dianpig', 'dianing']","['ddianping', 'dianpinng', 'dianpping', 'dianpiing']","['dianpinf', 'disnping', 'dianpkng', 'dian0ing', 'diamping', 'duanping', 'dianpimg', 'dianpibg', 'diajping', 'dianpinv', 'dianp9ng', 'dianpint', 'dianpinb', 'xianping', 'dianpjng', 'di2nping', 'dianpinh', 'diynping', 'dianpiny', 'diznping', 'dianp8ng', 'doanping']","['di.anping', 'dian.ping', 'dianpi.ng']","['dainping', 'diapning', 'dianpnig']","['dianpingb', 'dianpingd', 'dianpingf', 'dianpingh', 'dianpingj', 'dianpingl', 'dianpingn', 'dianpingp', 'dianpingr', 'dianpingt', 'dianpingv', 'dianpingx', 'dianpingz']",6,"162.14.14.55",45090,"CN","162.14.0.0/16",0,"0000-00-00T00:00:00","0000-00-00T00:00:00",15,184,0,0,1,9,220,"False","False","False","False","False","False",0,0,1,0,"False",0,0
8,"egy.best",20,"False","False","False","False","False","False","False",0,0.3333,0,0.6,0,15,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"False","best",0,"True","False","False","False","False",12,0,0,"True","True","False","False","True",0,0,0,0,"False",21,3.4464,"No_hyphen","No_homo_str","['ugy', 'igy']","['ggy', 'mgy', 'efy', 'ecy', 'ewy', 'egq', 'eg9']","['ehgy', 'egzy', 'etgy', 'eghy', 'efgy', 'egby', 'ebgy']","['ey']","['eegy']","['wgy', '3gy', 'egx', 'eyy', 'egt', 'zgy', 'sgy', 'evy', 'ega', '4gy', 'dgy']","No_subdomain_str","['eyg']","['egyb', 'egyd', 'egyf', 'egyh', 'egyj', 'egyl', 'egyn', 'egyp', 'egyr', 'egyt', 'egyv', 'egyx', 'egyz']",0,"172.67.197.98",13335,"US","172.64.0.0/13",94107,"2015-02-25T00:00:00","2021-05-26T00:00:00",141,201,0,0,1,17,93,"False","False","False","False","True","False",0,0,0,0,"False",2433,0
9,"usaa.com",20,"False","False","False","False","False","False","False",0,0.3333,0,0.6,0,15,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"False","com",0,"True","False","False","False","False",12,0,0,"True","True","False","False","True",0,0,0,1,"False",9,3.5842,"No_hyphen","No_homo_str","['asaa', 'usae', 'usia', 'osaa', 'usau', 'usua']","['wsaa', 'esaa', 'uraa', 'uwaa', 'u3aa', 'usea', 'usqa', 'usae', 'usaq']","['ussaa', 'usqaa', 'us2aa', 'uysaa', 'uxsaa', 'usaya', 'usaza', 'us1aa', 'usa2a', 'uwsaa', 'usdaa', 'usaqa', 'uesaa']","['usa']","['ussaa']","['usa1', 'jsaa', 'us1a', 'udaa', 'usaq', 'usaw', 'usya', 'uwaa', 'usqa', 'hsaa', 'uqaa', 'isaa', 'uyaa', 'usas']","['us.aa']","['uasa']","['usaab', 'usaad', 'usaaf', 'usaah', 'usaaj', 'usaal', 'usaan', 'usaap', 'usaar', 'usaat', 'usaav', 'usaax', 'usaaz']",1,"23.8.188.203",16625,"US","23.0.0.0/12",2142,"2010-12-17T00:00:00","2012-03-02T00:00:00",1,20,0,0,1,4,30,"False","False","False","False","False","False",0,0,0,0,"False",3964,0
10,"vseigru.net",23,"False","False","False","False","False","False","False",0,0.2778,0,0.6522,0,18,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"False","net",0,"True","False","False","False","False",15,0,0,"True","True","False","False","True",0,0,0,0,"False",9,3.7623,"No_hyphen","No_homo_str","['vsiigru', 'vseigru', 'vseogru', 'vseigri', 'vseigro', 'vseegru']","['tseigru', 'fseigru', 'vreigru', 'vweigru', 'v3eigru', 'vsgigru', 'vsmigru', 'vsehgru', 'vsemgru', 'vseygru', 'vseieru', 'vseioru', 'vseigsu', 'vseigvu', 'vseigbu', 'vseigrt', 'vseigrq', 'vseigr5']","['vseikgru', 'vsekigru', 'vwseigru', 'vseigrtu', 'vsejigru', 'vserigru', 'vxseigru', 'vsaeigru', 'vseifgru', 'vseigeru', 'vseigbru', 'vseitgru', 'vse4igru', 'vseijgru', 'vsreigru', 'vseigdru', 'vszeigru', 'vseigreu', 'vseigr5u', 'vse9igru', 'vsei8gru', 'vse3igru', 'vaseigru', 'vseiogru', 'vdseigru', 'vseoigru', 'vseigyru', 'vs4eigru', 'vseigtru', 'vsewigru', 'vse8igru']","['vseiru', 'veigru', 'vsegru']","['vvseigru', 'vseiggru', 'vseigrru']","['vs4igru', 'vseigrj', 'vyeigru', 'vseigtu', 'vse9gru', 'vseigri', 'vssigru', 'vseitru', 'vseigr7', 'fseigru', 'vzeigru', 'vseigr8', 'vseigrh', 'vseigfu', 'vweigru', 'vseig4u', 'vszigru', 'vseigrz', 'vseig5u', 'vseifru', 'vse8gru', 'vseibru']","['vs.eigru', 'vsei.gru']","['vesigru', 'vsegiru', 'vseigur']","['vseigrub', 'vseigrud', 'vseigruf', 'vseigruh', 'vseigruj', 'vseigrul', 'vseigrun', 'vseigrup', 'vseigrur', 'vseigrut', 'vseigruv', 'vseigrux', 'vseigruz']",0,"178.162.215.85",28753,"DE","178.162.208.0/21",0,"0000-00-00T00:00:00","0000-00-00T00:00:00",261,408,0,0,0,0,0,"False","False","False","False","False","False",0,0,0,0,"False",0,0
